SnapshotDate,PlayerID,GameTitle,Platform,Region,Country,Age,Gender,PlayerSegment,AcquisitionChannel,Campaign,DeviceModel,OSVersion,AppVersion,SessionsLast7d,PlaytimeLast7d_Minutes,AvgSession_Minutes,Retention7dPercent,SpentLast7d_USD,PurchasesLast7d,InGameCurrencyBalance,AdImpressionsLast7d,AdClicksLast7d,PurchaseRatePercent,CrashCountLast7d,AvgPingMs,AvgFPS,BugsReportedLast7d,ChurnProbabilityPercent,NPS,FeedbackCategory,FeedbackShort,CommunityMentionsLast7d,SentimentScore
2025-10-14,P00001,Starwright,Xbox Series X,LATAM,Argentina,24,Prefer not to say,Hardcore,Email,,Pixel 6,PS5 OS,1.3.5,31,4834,155.9,67,0.00,0,328,19,0,0,4,75,39,1,51,-59,negative,Toxic community,2,-0.68
2025-10-14,P00002,Starwright,PC,MEA,UAE,55,Prefer not to say,Core,Partner,,Ryzen 5 PC,Windows 10,1.2.0,17,989,58.2,75,14.60,1,6627,37,1,5.88,0,94,78,1,19,-11,neutral,Needs more content,0,-0.13
2025-10-14,P00003,RuneHollow,Xbox Series X,MEA,Egypt,19,Male,Hardcore,Email,,Ryzen 5 PC,Windows 11,1.1.0,34,4595,135.1,73,97.96,4,44971,18,0,11.76,2,31,52,2,35,-84,negative,Frequent crashes,3,-0.80
2025-10-14,P00004,GlyphQuest,PC,APAC,India,34,Male,Core,Influencer,,Ryzen 5 PC,iOS 17,1.1.0,19,888,46.7,82,0.00,0,1784,26,1,0,1,109,85,1,33,-56,negative,Paywall is harsh,0,-0.49
2025-10-14,P00005,RuneHollow,Switch,EU,Germany,52,Female,Core,Partner,,Intel i7 PC,Windows 11,1.3.5,6,823,137.2,43,0.00,0,944,8,0,0,0,56,54,0,76,-82,negative,Frequent crashes,0,-0.74
2025-10-14,P00006,Starwright,Xbox Series X,NA,USA,23,Male,Hardcore,Referral,,Pixel 6,Android 13,1.2.0,33,3656,110.8,68,0.00,0,183,21,1,0,1,120,60,1,47,-54,negative,Paywall is harsh,1,-0.49
2025-10-14,P00007,MetroRaiders,Android,LATAM,Argentina,16,Female,Casual,UA - Ads,Campaign_3,Switch OLED,Xbox OS,1.0.1,3,93,31,46,0.00,0,908,163,4,0,0,93,88,1,45,3,neutral,Waiting for new mode,0,0.11
2025-10-14,P00008,Aetherbound,iOS,APAC,China,51,Female,Casual,Email,,XboxX,Xbox OS,2.0.0,2,204,102,35,0.00,0,385,41,1,0,0,166,61,1,92,-77,negative,Frequent crashes,1,-0.81
2025-10-14,P00009,Neon Armada,PS5,NA,Canada,52,Prefer not to say,Casual,Email,,Ryzen 5 PC,macOS 12,1.0.1,7,213,30.4,79,0.00,0,528,22,1,0,0,92,39,0,18,-4,neutral,Needs more content,0,-0.06
2025-10-14,P00010,Starwright,Xbox Series X,APAC,South Korea,47,Prefer not to say,Hardcore,Organic,,Pixel 6,PS5 OS,1.0.0,16,4378,273.6,43,445.95,9,62891,39,1,56.25,3,165,30,0,69,-76,negative,Matchmaking broken,2,-0.80
2025-10-14,P00011,Aetherbound,iOS,NA,Canada,14,Non-binary,Casual,Partner,,Switch OLED,macOS 12,1.2.0,6,275,45.8,71,0.00,0,251,65,1,0,0,210,79,1,4,55,positive,Loving latest patch,0,0.58
